alpha,perturb_target,layer_spec,num_examples,kl_p_to_q,kl_q_to_p,js,tv,accept_mass,top1_match,top5_overlap,draft_prob_on_target_top1,target_prob_on_target_top1,gen_exact_match,gen_prefix_match_len
0.01,keys,layer_16,32,0.0005290328845859449,0.0005234485987131166,0.00013150038270026698,0.007844925358767796,0.9921553060412407,1.0,0.993750000372529,0.6299086220096797,0.6265926496125758,0.84375,14.90625
0.03,keys,layer_16,32,0.00041863877238768055,0.00041748553471165906,0.0001044663908142951,0.006566942257450137,0.9934332966804504,1.0,0.9875000007450581,0.6272284931037575,0.6265926496125758,0.84375,14.84375
0.1,keys,layer_16,32,0.0007030860237478009,0.0007012462080808746,0.00017545772155358463,0.01024836467422574,0.9897518623620272,1.0,0.9750000014901161,0.6276840826030821,0.6265926496125758,0.8125,14.59375
0.0,values,layer_16,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_16,32,0.0004871704078652783,0.0004879984654451164,0.00012183934421017284,0.0073192496543015295,0.9926809538155794,1.0,1.0,0.6270682618487626,0.6265926496125758,0.875,14.90625
0.03,values,layer_16,32,0.0006670016037730875,0.0006690433676226348,0.00016694009910622754,0.009645216270428136,0.9903550110757351,1.0,0.9875000007450581,0.6245179970283061,0.6265926496125758,0.84375,14.84375
0.1,values,layer_16,32,0.0006875846121943141,0.0006825663686811367,0.00017117810338618256,0.009666109845397841,0.9903341121971607,1.0,0.9875000007450581,0.6279193593654782,0.6265926496125758,0.9375,15.46875
0.0,keys,layer_17,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_17,32,0.0005193576346513851,0.0005174592616583595,0.00012954193550918092,0.007843171694844386,0.992157069966197,1.0,0.9812500011175871,0.6266562084201723,0.6265926496125758,0.8125,14.78125
0.03,keys,layer_17,32,0.0005448534367502589,0.000544388573047172,0.0001361131288319939,0.008887504345238995,0.9911127127707005,1.0,0.9812500011175871,0.6258175747934729,0.6265926496125758,0.78125,14.6875
0.1,keys,layer_17,32,0.0012207421722223444,0.0012677393068543097,0.00031032069684044927,0.01274890230024539,0.9872513022273779,1.0,0.9875000007450581,0.6246961911674589,0.6265926496125758,0.71875,13.53125
0.0,values,layer_17,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_17,32,0.0005599232062678539,0.0005596746393052854,0.00013989083667098612,0.008767582211248737,0.9912326484918594,1.0,0.9875000007450581,0.6270624042954296,0.6265926496125758,0.875,15.15625
0.03,values,layer_17,32,0.0005256455864994791,0.0005233349916551333,0.00013106021684095026,0.007728248414423433,0.9922719709575176,1.0,0.9875000007450581,0.6255874729249626,0.6265926496125758,0.90625,15.46875
0.1,values,layer_17,32,0.0009426088327018078,0.0009381852428305137,0.0002349366152714083,0.012973525257621077,0.9870267044752836,1.0,0.9812500011175871,0.6261979090049863,0.6265926496125758,0.6875,13.5
0.0,keys,layer_18,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_18,32,0.00042242938198455704,0.0004200484111080982,0.00010526299194779654,0.007003235445154132,0.9929969664663076,1.0,0.9875000007450581,0.62689363444224,0.6265926496125758,0.84375,14.90625
0.03,keys,layer_18,32,0.0007238151733872655,0.0007247168082784583,0.00018096603621842178,0.00986791610785076,0.9901323076337576,1.0,0.9750000014901161,0.6276510446332395,0.6265926496125758,0.8125,14.65625
0.1,keys,layer_18,32,0.0013728285327374579,0.001313948798312481,0.0003343616111957104,0.013147584359728626,0.9868526440113783,1.0,0.9875000007450581,0.6310006130952388,0.6265926496125758,0.71875,13.65625
0.0,values,layer_18,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_18,32,0.000537318381148566,0.0005345176422508757,0.00013392590448901842,0.00879537524792795,0.9912048298865557,1.0,0.993750000372529,0.6279951762408018,0.6265926496125758,0.90625,15.21875
0.03,values,layer_18,32,0.0004980676200005973,0.0004958956826044414,0.00012419469013025264,0.00793254174982394,0.9920676872134209,1.0,0.9875000007450581,0.6275494426954538,0.6265926496125758,0.90625,14.96875
0.1,values,layer_18,32,0.0006536253301554495,0.0006477053971316593,0.00016259204944191197,0.009948285334303364,0.9900519251823425,1.0,0.9750000014901161,0.6305803344585001,0.6265926496125758,0.75,13.4375
