context,config,target_config,draft_config,num_seeds,paired_prompt_count,paired_acceptance_delta_mean,paired_acceptance_delta_ci_low,paired_acceptance_delta_ci_high,accept_rate_mean,round_js_mean,bf16_reference_sequence_match_mean,bf16_reference_token_match_mean,bf16_reference_exact_count,bf16_reference_tie_count,bf16_reference_non_tie_count,target_cache_saved_fraction,draft_cache_saved_fraction,total_cache_saved_fraction
1024,target_none__draft_k4v4,none,k4v4,3,190,0.0016068036377272499,-0.009020553917346796,0.012523675972190174,0.5354785378711627,0.0645471512521238,0.7552083333333334,0.9010416666666666,219,67,2,0.0,0.6633413461538461,0.2902118389423077
1024,target_none__draft_k4v8,none,k4v8,3,190,0.0005402718536879902,-0.008533834003821461,0.010058158695616215,0.5340784901523555,0.06375881629102838,0.75,0.8997395833333334,217,69,2,0.0,0.5383413461538461,0.2355243389423077
1024,target_none__draft_k8v4,none,k8v4,3,190,0.005317190231389102,-0.004777706130414727,0.01569116949711602,0.5393040623347052,0.06415473650943887,0.7447916666666666,0.8948567708333334,218,68,2,0.0,0.5556490384615385,0.2430964543269231
1024,target_none__draft_k8v8,none,k8v8,3,190,0.0062594061982356175,-0.002347990209516926,0.015592631507756693,0.5396975909468115,0.06391700295882832,0.75,0.9010416666666666,218,68,2,0.0,0.43064903846153846,0.1884089543269231
1024,target_none__draft_none,none,none,3,0,0.0,0.0,0.0,0.5341654927786614,0.06421889895979142,0.7447916666666666,0.8977864583333334,217,69,2,0.0,0.0,0.0
4096,target_k4v4__draft_k4v4,k4v4,k4v4,3,96,-0.0016953841586911933,-0.027481681524251123,0.02414137089869306,0.5007433718953084,0.062023698353243756,0.5625,0.8046875,171,90,27,0.6988995622568094,0.6988995622568094,0.6988995622568094
4096,target_k4v4__draft_k4v8,k4v4,k4v8,3,96,-0.0036296269262873215,-0.027860531161884527,0.020901048518603138,0.49902860940681965,0.061046619905397316,0.5729166666666666,0.810546875,173,89,26,0.6988995622568094,0.5738995622568094,0.6442120622568094
4096,target_k4v4__draft_k8v4,k4v4,k8v4,3,96,-0.007000793873167099,-0.030362283417522118,0.016633468415871044,0.49546068499758805,0.061433499113234986,0.5520833333333334,0.7981770833333334,172,88,28,0.6988995622568094,0.5782769941634242,0.6461271887159533
4096,target_k4v4__draft_k8v8,k4v4,k8v8,3,96,-0.013162337422064352,-0.03489486619656673,0.008065403397117477,0.48951679082683447,0.061953450390774226,0.5416666666666666,0.80078125,169,91,28,0.6988995622568094,0.45327699416342415,0.5914396887159533
4096,target_k4v4__draft_none,k4v4,none,3,96,-0.006745247190760251,-0.027628310717180415,0.014074973744553132,0.49614583909589793,0.06139348841752861,0.5416666666666666,0.8020833333333334,171,91,26,0.6988995622568094,0.0,0.39313100376945526
4096,target_k4v8__draft_k4v4,k4v8,k4v4,3,96,-0.007472985670660071,-0.028651296799747983,0.01404049992089862,0.49511653594314886,0.06309334521604001,0.7395833333333334,0.9010416666666666,209,74,5,0.5738995622568094,0.6988995622568094,0.6285870622568094
4096,target_k4v8__draft_k4v8,k4v8,k4v8,3,96,-0.007468131749419793,-0.027877360244981997,0.012260852833513969,0.4957443902694404,0.06193423279203953,0.75,0.9069010416666666,214,69,5,0.5738995622568094,0.5738995622568094,0.5738995622568094
4096,target_k4v8__draft_k8v4,k4v8,k8v4,3,96,-0.009613276401554849,-0.03075686987658177,0.01097559185918745,0.4928963310449159,0.062370474554637685,0.75,0.9036458333333334,213,70,5,0.5738995622568094,0.5782769941634242,0.5758146887159533
4096,target_k4v8__draft_k8v8,k4v8,k8v8,3,96,-0.011721479189539863,-0.031166491451822487,0.006900240733609397,0.4916800352644181,0.06225523060494453,0.7604166666666666,0.9049479166666666,213,70,5,0.5738995622568094,0.45327699416342415,0.5211271887159533
4096,target_k4v8__draft_none,k4v8,none,3,96,-0.009599514112977992,-0.025813495049578195,0.007386446866815999,0.4935661259729101,0.06182314874856147,0.7604166666666666,0.9049479166666666,214,69,5,0.5738995622568094,0.0,0.32281850376945526
4096,target_k8v4__draft_k4v4,k8v4,k4v4,3,96,-0.005794349598960413,-0.029301690430386107,0.01784245012588559,0.4972122935029138,0.06165176057730665,0.5729166666666666,0.8072916666666666,176,88,24,0.5782769941634242,0.6988995622568094,0.6310493677042801
4096,target_k8v4__draft_k4v8,k8v4,k4v8,3,96,-0.007700791560654063,-0.02973447916846428,0.014169324086547197,0.4958832218179177,0.06090382509988784,0.5625,0.8033854166666666,176,89,23,0.5782769941634242,0.5738995622568094,0.5763618677042801
4096,target_k8v4__draft_k8v4,k8v4,k8v4,3,96,-0.01575581395348835,-0.03745755000032969,0.005697369664486807,0.48710361329012325,0.061600998483703595,0.5729166666666666,0.8111979166666666,177,88,23,0.5782769941634242,0.5782769941634242,0.5782769941634242
4096,target_k8v4__draft_k8v8,k8v4,k8v8,3,96,-0.012432013508620221,-0.032711701703105334,0.0068388852612805695,0.4910215808022306,0.061746338189134525,0.5729166666666666,0.81640625,178,90,20,0.5782769941634242,0.45327699416342415,0.5235894941634242
4096,target_k8v4__draft_none,k8v4,none,3,96,-0.013374861572535979,-0.031517260109760414,0.00506866479760959,0.49053723089770646,0.06113265048547767,0.5520833333333334,0.80859375,175,93,20,0.5782769941634242,0.0,0.3252808092169261
4096,target_k8v8__draft_k4v4,k8v8,k4v4,3,96,-0.0058008589985334424,-0.027543613272057232,0.015629295970388313,0.49679326367400245,0.0634658823131247,0.8125,0.9225260416666666,216,69,3,0.45327699416342415,0.6988995622568094,0.5607368677042801
4096,target_k8v8__draft_k4v8,k8v8,k4v8,3,96,-0.004837939557353121,-0.02462887989203788,0.015121423987570493,0.49857418315813656,0.062240208456600304,0.8229166666666666,0.9264322916666666,218,67,3,0.45327699416342415,0.5738995622568094,0.5060493677042801
4096,target_k8v8__draft_k8v4,k8v8,k8v4,3,96,-0.006761921314465569,-0.02755952857267502,0.013847302767358849,0.49577723189471895,0.06284686005539192,0.8229166666666666,0.9264322916666666,219,66,3,0.45327699416342415,0.5782769941634242,0.5079644941634242
4096,target_k8v8__draft_k8v8,k8v8,k8v8,3,96,-0.009376917070994362,-0.028875739037081627,0.010435649046129702,0.493929785555843,0.06256590548037218,0.8125,0.9231770833333334,219,66,3,0.45327699416342415,0.45327699416342415,0.45327699416342415
4096,target_k8v8__draft_none,k8v8,none,3,96,-0.008191711389385792,-0.02390935894931112,0.008688423251550725,0.4948066220337129,0.0618685636308429,0.8020833333333334,0.9225260416666666,218,67,3,0.45327699416342415,0.0,0.2549683092169261
4096,target_none__draft_k4v4,none,k4v4,3,96,0.00391280203091704,-0.01126589275843004,0.018870518343950593,0.506361363041676,0.06222415055245162,0.7708333333333334,0.896484375,219,67,2,0.0,0.6988995622568094,0.30576855848735407
4096,target_none__draft_k4v8,none,k4v8,3,96,0.002682040527146823,-0.0102065141021781,0.014761477794653144,0.5054681515194508,0.06106408608611949,0.7604166666666666,0.8912760416666666,217,69,2,0.0,0.5738995622568094,0.25108105848735407
4096,target_none__draft_k8v4,none,k8v4,3,96,0.002446068552191649,-0.011768224330338528,0.016612776896350878,0.5049780355193496,0.06160361366644257,0.78125,0.8971354166666666,218,68,2,0.0,0.5782769941634242,0.25299618494649806
4096,target_none__draft_k8v8,none,k8v8,3,96,0.0014572477988555876,-0.010090508806262277,0.012767525689748815,0.5045686074890959,0.061144375008432034,0.7708333333333334,0.8932291666666666,218,68,2,0.0,0.45327699416342415,0.19830868494649806
4096,target_none__draft_none,none,none,3,0,0.0,0.0,0.0,0.502928042178273,0.06053704895925566,0.7708333333333334,0.8932291666666666,217,69,2,0.0,0.0,0.0
