pair,pair_label,run,context,dataset,seed,config,config_label,num_prompts,accept_rate,accept_ci_low,accept_ci_high,acceptance_retained,accepted_per_round,top1_match,round_js,accept_mass,draft_cache_saved_fraction,total_cache_saved_fraction,exact_match,tie_consistent_mismatches,non_tie_mismatches,unknown_mismatches,valid_exact_generation,summary_path
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,wikitext,0,k8v4,K8 V4,32,0.5228951255539144,0.46258503401360546,0.5888,1.0059084194977843,2.0892733134920634,0.7856522817460317,0.07019211369013012,0.7802252800205708,0.6171875,0.28802083333333334,0.84375,5,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,wikitext,0,k4v8,K4 V8,32,0.5115942028985507,0.45479082321187586,0.5685419044042236,0.984168508965856,2.0078869047619046,0.7901785714285714,0.07591741038332939,0.7704612828353198,0.6171875,0.28802083333333334,0.8125,6,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,wikitext,0,k4v4,K4 V4,32,0.5115942028985507,0.45614035087719296,0.571434134401424,0.984168508965856,2.0306547619047617,0.7757440476190476,0.07693036419851534,0.768241739581849,0.7421875,0.3463541666666667,0.8125,6,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,wikitext,0,none,BF16,12,0.5738396624472574,0.515625,0.6425339366515838,1.0,2.1930555555555555,0.7930555555555555,0.08377055824732654,0.7599966851166552,0.0,0.0,0.8333333333333334,2,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx4096/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,wikitext,0,k8v8,K8 V8,12,0.576271186440678,0.5177865612648221,0.6438356164383562,1.0042372881355932,2.1902777777777778,0.7930555555555555,0.0876005762778934,0.7527524781309896,0.4921875,0.2296875,0.8333333333333334,2,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx4096/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,wikitext,0,k8v4,K8 V4,12,0.6026200873362445,0.5465587044534413,0.6619718309859155,1.0501541227844848,2.2607142857142857,0.793452380952381,0.08483912514817521,0.7609408162859461,0.6171875,0.28802083333333334,0.9166666666666666,1,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx4096/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,wikitext,0,k4v8,K4 V8,12,0.5555555555555556,0.4999521072796935,0.625,0.9681372549019609,2.1152777777777776,0.7541666666666668,0.09826268870581568,0.7232460644717018,0.6171875,0.28802083333333334,0.6666666666666666,4,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx4096/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,wikitext,0,k4v4,K4 V4,12,0.5381526104417671,0.4798497627833421,0.606063958165728,0.93781006378455,2.039484126984127,0.7932539682539682,0.09164199007839974,0.7339590741764931,0.7421875,0.3463541666666667,0.75,3,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx4096/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,allocation_ctx1024,1024,wikitext,0,none,BF16,32,0.43007915567282323,0.37287777800494776,0.49927431059506533,1.0,1.726984126984127,0.6936259920634921,0.10108495878997105,0.7215335320211976,0.0,0.0,0.875,1,3,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/allocation_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,allocation_ctx1024,1024,wikitext,0,sensitivity_aware,Sensitivity-aware,32,0.43064729194187584,0.3722592346825923,0.4963828336035978,1.0013210039630118,1.7199156746031745,0.7054191468253969,0.10757346014182306,0.7134192707486421,0.37109375,0.07421875,0.9375,1,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/allocation_ctx1024/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed1,1024,allenai/c4,1,none,BF16,16,0.5240963855421686,0.41533890753864644,0.6310344827586207,1.0,2.1023674242424244,0.772159090909091,0.06892274849152741,0.7628205244824516,0.0,0.0,0.9375,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed1/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed1,1024,allenai/c4,1,k8v4,K8 V4,16,0.5119047619047619,0.4035532994923858,0.6203389830508474,0.9767378215654078,2.0676948051948054,0.7803436147186147,0.06665352048762956,0.7701627922764459,0.6171875,0.1234375,0.9375,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed1/summary.json
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed1,1024,allenai/c4,1,k4v8,K4 V8,16,0.501466275659824,0.4005102040816326,0.6053511705685619,0.9568207098796643,2.0145698051948053,0.7818317099567099,0.07157833634243588,0.7549413232334378,0.6171875,0.1234375,0.9375,0,1,0,False,outputs/iclr_spec_kv/olmo2_7b_1b/c4_ctx1024_seed1/summary.json
